,Â,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,(R) 2014,2015
0,Labor productivitya,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Air transportation,49,48,45,44,46,50,44,48,50,52,52,50,57,59,56,62,69,78,84,95,100,107,105,102,102,108,114,114,113
2,Line-haul railroads,42,46,48,50,54,59,62,64,66,71,72,74,76,82,88,97,102,104,100,106,100,104,100,108,105,107,109,112,115
3,"General freight trucking, long-distance",77,78,77,81,84,90,88,90,86,85,89,89,89,92,93,96,99,98,99,99,100,100,94,105,(R) 107,(R) 104,104,106,108
4,Postal Service,81,81,81,84,84,85,88,87,87,87,89,91,92,94,95,95,96,98,99,99,100,98,99,101,102,98,98,96,97
5,Output per employeeb,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
6,Air transportation,54,54,53,52,53,56,58,63,64,66,67,65,65,66,63,69,77,86,94,99,100,98,98,104,103,104,108,110,112
7,Line-haul railroads,43,48,49,52,54,58,62,66,70,75,77,76,79,85,87,93,98,101,101,106,100,106,94,106,105,104,107,109,108
8,"General freight trucking, long-distance",73,74,73,76,78,83,83,86,83,84,88,87,88,91,90,95,97,99,100,100,100,102,94,(R) 107,(R) 109,(R) 106,107,108,109
9,Postal Service,77,77,77,81,82,84,87,87,86,86,89,90,91,94,94,94,95,99,101,101,100,96,90,91,93,90,91,89,90
