Year and state,Population aged 65 or older receiving—,,,,,,Persons receiving both OASDI and SSI as a percentage of—,,0
,OASDI,,SSI ,,"OASDI and SSI, number per 1,000","OASDI, SSI, or both, number per 1,000",,,0
,"Number per 1,000",State rank,"Number per 1,000",State rank,,,OASDI beneficiaries,SSI recipients,0
1940,7,. . .,217,. . .,1,223,14.3,0.5,0
1945,62,. . .,194,. . .,5,251,8.1,2.6,0
1950,164,. . .,224,. . .,22,366,12.6,9.8,0
1955,394,. . .,179,. . .,34,539,8.6,19.2,0
1960,616,. . .,141,. . .,41,716,6.6,28.5,0
1965,752,. . .,117,. . .,52,817,7.0,44.7,0
1970,855,. . .,104,. . .,63,896,7.4,60.4,0
1975,904,. . .,111,. . .,78,939,8.6,69.5,0
1980,914,. . .,87,. . .,61,941,6.7,70.2,0
1985,917,. . .,71,. . .,51,937,5.5,71.1,0
1990,924,. . .,66,. . .,46,944,4.9,69.2,0
1995,913,. . .,63,. . .,39,937,4.3,62.6,0
2000,911,. . .,57,. . .,34,934,3.7,59.1,0
2001,908,. . .,56,. . .,33,931,3.6,58.4,0
2002,901,. . .,56,. . .,32,924,3.6,57.8,0
2003,908,. . .,55,. . .,32,932,3.5,57.4,0
2004,926,. . .,54,. . .,31,950,3.3,57.0,0
2005,919,. . .,53,. . .,31,943,3.3,57.6,0
2006,919,. . .,53,. . .,30,942,3.3,57.1,0
2007,904,. . .,53,. . .,30,926,3.4,57.3,0
2008,898,. . .,52,. . .,30,921,3.3,56.8,0
2009,901,. . .,51,. . .,29,924,3.2,56.0,0
2010,894,. . .,50,. . .,28,940,3.1,56.2,0
2011,925,. . .,50,. . .,28,947,3.0,56.3,0
2012,872,. . .,47,. . .,26,893,3.0,56.0,0
2013,874,. . .,46,. . .,26,894,3.0,55.8,0
2014, ,,,,,,,,0
United States,872,. . .,45,. . .,25,892,2.9,55.5,2
Alabama,909,15,37,16,28,919,3.0,73.5,1
Alaska,857,40,44,11,28,874,3.2,62.9,1
Arizona,815,48,26,30,16,825,1.9,59.8,1
Arkansas,911,13,32,22,25,918,2.7,78.6,1
California,811,50,111,1,57,864,7.1,51.6,1
Colorado,844,46,23,36,13,855,1.5,55.3,1
Connecticut,895,28,26,31,13,907,1.5,51.3,1
Delaware,894,29,17,44,10,901,1.1,60.1,1
District of Columbia,741,51,62,3,36,768,4.8,57.4,1
Florida,815,49,48,9,24,838,2.9,50.1,1
Georgia,879,34,40,14,27,892,3.1,66.9,1
Hawaii,848,44,38,15,21,864,2.5,56.0,1
Idaho,917,8,17,43,12,922,1.3,70.8,1
Illinois,872,36,35,18,16,891,1.8,45.7,1
Indiana,932,3,15,48,10,937,1.0,65.3,1
Iowa,931,4,14,49,10,936,1.0,67.9,1
Kansas,901,22,16,45,10,907,1.2,63.7,1
Kentucky,898,25,48,8,33,913,3.7,68.8,1
Louisiana,862,38,50,7,36,877,4.1,71.2,1
Maine,909,16,22,38,16,914,1.8,74.8,1
Maryland,826,47,31,23,15,842,1.8,47.5,1
Massachusetts,855,41,46,10,20,881,2.4,44.0,1
Michigan,931,5,28,27,15,944,1.6,52.6,1
Minnesota,906,18,26,32,10,922,1.1,39.5,1
Mississippi,915,9,54,5,41,928,4.5,76.9,1
Missouri,901,23,21,39,14,908,1.5,65.7,1
Montana,894,30,18,41,11,901,1.3,64.1,1
Nebraska,898,26,16,46,10,904,1.1,62.9,1
Nevada,845,45,32,21,18,858,2.2,58.5,1
New Hampshire,928,7,10,51,6,932,0.6,59.1,1
New Jersey,888,31,43,12,21,911,2.3,47.9,1
New Mexico,852,43,53,6,37,868,4.4,70.0,1
New York,862,39,77,2,36,903,4.1,46.4,1
North Carolina,899,24,29,25,21,907,2.4,72.6,1
North Dakota,902,20,15,47,10,908,1.1,64.3,1
Ohio,881,33,24,34,13,891,1.5,55.2,1
Oklahoma,902,19,26,33,18,910,2.0,71.9,1
Oregon,908,17,27,29,16,919,1.7,59.0,1
Pennsylvania,912,12,30,24,16,927,1.7,52.8,1
Rhode Island,913,11,42,13,25,930,2.7,58.5,1
South Carolina,910,14,28,28,21,917,2.3,73.7,1
South Dakota,952,1,23,37,13,962,1.4,56.9,1
Tennessee,914,10,32,20,23,923,2.5,70.6,1
Texas,854,42,55,4,37,872,4.3,67.1,1
Utah,877,35,17,42,9,885,1.1,54.0,1
Vermont,929,6,24,35,17,936,1.8,72.6,1
Virginia,872,37,29,26,16,884,1.9,56.3,1
Washington,888,32,34,19,14,908,1.6,41.0,1
West Virginia,902,21,36,17,23,914,2.6,65.8,1
Wisconsin,939,2,19,40,12,946,1.2,61.4,1
Wyoming,895,27,11,50,8,898,0.9,78.1,1
,,,,,,,,"SOURCES: Social Security Administration, Master Beneficiary Record and Supplemental Security Record, and Census Bureau, 100 percent data.",0
,,,,,,,,NOTE: . . . = not applicable.,0
,,,,,,,,"a. For 1940–1973, data refer to the Old-Age Assistance program. Beginning January 1974, the Supplemental Security Income program superseded the Old-Age Assistance program in the 50 states and the District of Columbia.",0
,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.,0
