Year,Total,Retired-worker and dependents benefits,Survivors benefits,Special age-72 beneficiaries,Lump-sum death payments,Retired workers,Wives and husbands,Children,Children.1,Widowed mothers and fathers,Widow(er)s a,Parents
1937,1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,1.0,,
1938,10,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,10.0,,
1939,14,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,14.0,,
1940,35,15,2,b,3,2,b,b,. . .,9.0,,
1945,274,126,21,2,52,27,20,1,. . .,26.0,,
1950,961,557,88,6,135,49,89,3,. . .,33.0,,
1955,4968,3253,466,29,532,163,396,16,. . .,113.0,,
1956,5715,3793,536,33,581,177,469,17,. . .,109.0,,
1957,7347,4888,756,43,651,198,653,19,. . .,139.0,,
1958,8327,5567,851,56,720,223,757,20,. . .,133.0,,
1959,9842,6548,982,77,855,263,921,25,. . .,171.0,,
1960,10677,7053,1051,92,945,286,1057,28,. . .,164.0,,
1961,11862,7802,1124,106,1080,316,1232,31,. . .,171.0,,
1962,13356,8813,1216,134,1171,336,1470,34,. . .,183.0,,
1963,14217,9391,1258,146,1222,348,1612,34,. . .,206.0,,
1964,14914,9854,1277,150,1275,354,1754,33,. . .,216.0,,
1965,16737,10984,1383,175,1515,388,2041,35,. . .,217.0,,
1966,18267,11727,1429,216,1812,415,2351,35,44,237.0,,
1967,19468,12372,1456,221,1855,420,2545,34,313,252.0,,
1968,22642,14278,1673,253,2207,478,3117,37,330,269.0,,
1969,24209,15385,1750,260,2322,490,3371,36,303,291.0,,
1970,28796,18438,2029,303,2760,574,4055,39,305,294.0,,
1971,33413,21544,2323,352,3168,630,4763,41,285,306.0,,
1972,37122,24143,2532,382,3433,679,5326,43,263,320.0,,
1973,45741,29336,3000,457,4002,801,7505,48,264,329.0,,
1974,51618,33369,3309,533,4399,898,8497,49,237,327.0,,
1975,58509,38079,3719,634,4888,1009,9597,50,196,337.0,,
1976,65699,43083,4117,736,5336,1113,10757,51,174,332.0,,
1977,73113,48186,4559,830,5759,1191,12068,52,157,312.0,,
1978,80352,53255,4983,921,6093,1284,13278,51,142,344.0,,
1979,90556,60379,5554,1014,6608,1409,15071,52,128,340.0,,
1980,105074,70358,6405,1142,7389,1572,17638,55,119,394.0,,
1981,123795,83614,7543,1321,8307,1760,20749,58,110,332.0,,
1982,138800,95123,8539,1223,8204,1861,23488,59,100,203.0,,
1983,149502,103578,9328,1143,7911,1771,25425,56,85,205.0,,
1984,157862,109957,9860,1135,7775,1474,27325,53,71,212.0,,
1985,167360,116823,10517,1140,7762,1474,29330,51,57,207.0,,
1986,176845,123584,11152,1166,7843,1457,31345,48,47,203.0,,
1987,183644,128513,11598,1183,7846,1388,32833,44,36,203.0,,
1988,195522,136987,12292,1219,8120,1392,35233,43,29,208.0,,
1989,207977,146027,13054,1249,8254,1401,37723,41,21,206.0,,
1990,222993,156756,13953,1316,8564,1437,40705,39,16,206.0,,
1991,240436,169142,14986,1405,9022,1490,44139,38,12,202.0,,
1992,254939,179372,15810,1494,9431,1521,47060,37,9,206.0,,
1993,267804,188440,16356,1563,9897,1547,49746,36,6,214.0,,
1994,279118,196400,16854,1637,10293,1551,52124,34,4,220.0,,
1995,291682,205315,17348,1715,10717,1573,54761,32,3,218.0,,
1996,302914,213423,17715,1799,11217,1486,57025,31,1,218.0,,
1997,316311,223554,18154,1882,11660,1466,59349,30,1,216.0,,
1998,326817,232324,18395,1940,11936,1435,60540,29,b,218.0,,
1999,334437,238478,18415,1992,12125,1415,61769,27,b,216.0,,
2000,352706,253542,18969,2133,12532,1406,63884,26,b,214.0,,
2001,372370,268976,19491,2332,13134,1441,66758,26,b,212.0,,
2002,388170,281624,19884,2475,13690,1476,68782,25,b,213.0,,
2003,399892,291518,19951,2583,14072,1486,70052,24,b,206.0,,
2004,415082,304261,20164,2714,14538,1515,71660,24,b,205.0,,
2005,435373,321706,20500,2888,15103,1535,73411,24,b,206.0,,
2006,460457,342865,21005,3082,15814,1562,75900,24,b,204.0,,
2007,485881,364278,21571,3274,16486,1573,78472,24,b,203.0,,
2008,509056,383999,22022,3482,17041,1592,80692,23,b,205.0,,
2009,557160,424044,23613,3922,18071,1647,85639,23,b,201.0,,
2010,577448,443390,24001,4114,18024,1645,86048,23,b,203.0,,
2011,596212,461234,24176,4288,18100,1647,86541,22,b,204.0,,
2012,637948,497471,25348,4583,18752,1676,89896,22,0,200.0,,
2013,672175,528862,26300,4780,18923,1660,91427,22,0,201.0,,
2014,706821,560120,27484,4974,19192,1638,93192,21,. . .,199.0,,
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.","NOTES: Amounts by type of benefit are estimated. The amounts of benefits paid generally do not reflect occasional adjustments such as reimbursements for uncashed checks, reimbursements to correct earlier accounting errors, and interfund transfers to correct earlier allocation errors.
          Totals do not necessarily equal the sum of rounded components.
          . . . = not applicable.
        ",a. Aged widow(er)s and disabled widow(er)s.,"b. Less than $500,000.",CONTACT: Michael Stephens (410) 965-3028 or statistics@ssa.gov.,,,,,,,,
