Monthly family benefit (dollars),Widowed mother or father and—,Children only,Widow only,1 child,2 children,3 or more children,1 child.1,2 children.1,3 or more children.1,Nondisabled,Disabled
Total,,,,,,,,,,,
Number,78335,44190,18576,829402,178708.0,68229,3572898,216464,,,
Percent,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,
Less than 200.00,0.1,(L),(L),2.4,0.1,0.1,0.8,8.3,,,
200.00–249.90,0.1,(L),(L),1.6,0.1,0.1,0.4,3.3,,,
250.00–299.90,0.1,0.1,0.1,1.8,0.3,0.4,0.5,3.5,,,
300.00–349.90,0.2,0.1,0.3,1.9,0.6,0.7,0.7,4.0,,,
350.00–399.90,0.2,0.2,0.3,1.9,0.8,0.9,0.8,3.9,,,
400.00–449.90,0.3,0.2,0.3,4.4,0.9,1.1,0.9,4.1,,,
450.00–499.90,0.3,0.3,0.4,3.3,1.0,1.2,1.1,4.2,,,
500.00–549.90,0.4,0.3,0.5,4.0,1.0,1.3,1.3,4.7,,,
550.00–599.90,0.4,0.3,0.5,5.7,1.0,1.2,1.6,5.1,,,
600.00–649.90,0.4,0.3,0.4,5.7,1.1,1.3,1.8,4.9,,,
650.00–699.90,0.5,0.4,0.6,5.5,1.4,1.5,1.9,4.7,,,
700.00–749.90,0.5,0.3,0.6,5.3,1.2,1.3,2.0,4.6,,,
750.00–799.90,0.5,0.4,0.6,5.3,1.2,1.4,2.2,4.4,,,
800.00–849.90,0.6,0.4,0.5,5.3,1.3,1.4,2.4,4.3,,,
850.00–899.90,0.6,0.4,0.5,5.2,1.2,1.4,2.6,4.0,,,
900.00–949.90,0.7,0.5,0.8,4.5,1.4,1.4,2.7,3.6,,,
950.00–999.90,0.7,0.5,0.6,4.4,1.3,1.5,3.1,3.3,,,
"1,000.00–1,049.90",0.8,0.6,0.8,3.9,1.5,1.4,3.3,3.0,,,
"1,050.00–1,099.90",1.1,0.8,1.0,3.6,1.9,1.9,3.5,2.7,,,
"1,100.00–1,149.90",1.6,1.4,2.0,3.3,3.3,3.7,3.8,2.4,,,
"1,150.00–1,199.90",1.8,1.4,2.3,3.1,3.4,3.6,4.2,2.2,,,
"1,200.00–1,249.90",1.9,1.5,2.3,2.8,3.4,3.7,4.7,2.0,,,
"1,250.00–1,299.90",2.0,1.7,2.3,2.5,3.4,3.6,4.9,1.8,,,
"1,300.00–1,349.90",2.1,1.5,2.5,2.2,3.2,3.2,4.7,1.5,,,
"1,350.00–1,399.90",2.0,1.6,2.1,1.6,3.0,3.2,4.5,1.2,,,
"1,400.00–1,449.90",2.1,1.8,2.4,1.3,2.9,2.9,4.6,1.3,,,
"1,450.00–1,499.90",2.2,1.6,2.2,1.1,2.8,2.8,4.4,1.6,,,
"1,500.00–1,549.90",2.4,1.6,2.3,1.2,2.9,2.4,3.9,1.4,,,
"1,550.00–1,599.90",2.2,1.2,1.5,1.2,2.6,1.8,3.5,1.1,,,
"1,600.00–1,649.90",2.4,1.0,1.4,0.9,2.6,1.4,3.3,0.9,,,
"1,650.00–1,699.90",2.4,1.1,1.4,0.7,2.5,1.4,3.0,0.6,,,
"1,700.00–1,749.90",2.4,1.3,1.3,0.6,2.3,1.4,2.9,0.5,,,
"1,750.00–1,799.90",2.5,1.2,1.3,0.5,2.2,1.3,2.4,0.4,,,
"1,800.00–1,849.90",2.3,1.2,1.3,0.4,2.2,1.4,2.0,0.3,,,
"1,850.00–1,899.90",2.3,1.4,1.3,0.4,2.1,1.4,1.6,0.1,,,
"1,900.00–1,949.90",2.3,1.3,1.2,0.3,2.0,1.3,1.3,(L),,,
"1,950.00–1,999.90",2.4,1.3,1.2,0.2,1.9,1.2,1.1,(L),,,
"2,000.00–2,049.90",2.3,1.4,1.3,0.1,1.7,1.2,0.9,(L),,,
"2,050.00–2,099.90",2.2,1.3,1.3,(L),1.7,1.1,0.8,(L),,,
"2,100.00–2,149.90",2.1,1.3,1.3,(L),1.6,1.3,0.6,(L),,,
"2,150.00–2,199.90",2.0,1.5,1.2,(L),1.5,1.1,0.5,(L),,,
"2,200.00–2,249.90",2.0,1.2,1.3,(L),1.5,1.1,0.5,(L),,,
"2,250.00–2,299.90",1.9,1.4,1.3,(L),1.4,1.1,0.4,(L),,,
"2,300.00–2,349.90",1.9,1.4,1.3,(L),1.3,1.0,0.3,(L),,,
"2,350.00–2,399.90",1.8,1.3,1.3,(L),1.2,1.0,0.3,(L),,,
"2,400.00–2,449.90",1.7,1.4,1.3,(L),1.2,1.0,0.2,(L),,,
"2,450.00–2,499.90",1.7,1.3,1.3,(L),1.1,0.9,0.2,(L),,,
"2,500.00–2,549.90",1.5,1.2,1.1,(L),1.0,0.9,0.1,(L),,,
"2,550.00–2,599.90",1.6,1.4,1.3,(L),1.0,0.9,0.1,(L),,,
"2,600.00–2,649.90",1.5,1.3,1.3,(L),0.9,0.9,0.1,(L),,,
"2,650.00–2,699.90",1.4,1.3,1.1,(L),0.9,0.8,0.1,(L),,,
"2,700.00–2,749.90",1.5,1.3,1.1,(L),0.8,0.8,(L),(L),,,
"2,750.00–2,799.90",1.3,1.6,1.4,(L),0.7,1.0,(L),(L),,,
"2,800.00–2,849.90",1.2,1.9,1.7,(L),0.7,1.0,(L),(L),,,
"2,850.00–2,899.90",1.1,2.2,1.7,(L),0.6,1.2,(L),(L),,,
"2,900.00–2,949.90",1.2,2.1,1.7,(L),0.6,1.2,(L),(L),,,
"2,950.00–2,999.90",1.2,1.9,1.7,(L),0.6,1.0,(L),(L),,,
"3,000.00–3,049.90",1.5,1.9,1.8,(L),0.7,1.0,(L),(L),,,
"3,050.00–3,099.90",1.6,1.8,1.5,(L),0.8,1.0,(L),(L),,,
"3,100.00–3,149.90",1.6,1.7,1.3,(L),0.8,0.9,(L),(L),,,
"3,150.00–3,199.90",1.3,1.6,1.3,0.8,0.8,(L),(L),(L),,,
"3,200.00–3,249.90",1.3,1.5,1.3,(L),0.7,0.8,(L),(L),,,
"3,250.00–3,299.90",1.2,1.4,1.2,(L),0.6,0.6,(L),(L),,,
"3,300.00 or more",10.5,29.0,23.2,(L),5.2,11.2,0.1,(L),,,
