Year,Total,Entitled because of age,,Entitled because of disability,
,,Widows,Widowers,Widows,Widowers
1950,"66,735","66,672",63,. . .,. . .
1951,"89,591","89,324",267,. . .,. . .
1952,"92,302","91,992",310,. . .,. . .
1953,"112,866","112,467",399,. . .,. . .
1954,"128,026","127,626",400,. . .,. . .
1955,"140,624","140,273",351,. . .,. . .
1956,"253,524","253,191",333,. . .,. . .
1957,"244,633","244,172",461,. . .,. . .
1958 ,"199,320","198,948",372,. . .,. . .
1959 ,"252,683","252,100",583,. . .,. . .
1960,"239,267","238,813",454,. . .,. . .
1961,"251,275","250,606",669,. . .,. . .
1962,"267,051","266,465",586,. . .,. . .
1963,"278,709","278,138",571,. . .,. . .
1964,"283,263","282,689",574,. . .,. . .
1965,"359,431","358,875",556,. . .,. . .
1966,"403,595","403,035",560,. . .,. . .
1967,"355,589","355,032",557,. . .,. . .
1968,"375,391","352,280",604,"22,438",69
1969,"375,753","353,928",625,"21,127",73
1970,"363,216","347,031",576,"15,546",63
1971,"381,262","363,689",551,"16,960",62
1972,"402,809","382,452",544,"19,739",74
1973,"372,167","351,793",651,"19,660",63
1974,"363,693","343,317",550,"19,793",33
1975,"377,246","353,249",476,"23,476",45
1976,"385,373","362,229",489,"22,603",52
1977,"416,735","383,057","10,416","22,981",281
1978,"403,679","375,750","9,022","18,553",354
1979,"445,555","418,883","9,272","17,136",264
1980,"452,156","424,690","11,412","15,789",265
1981,"480,772","453,307","13,311","13,868",286
1982,"492,451","465,070","14,941","12,222",218
1983,"501,688","470,764","16,512","14,144",268
1984,"499,677","464,979","17,533","16,847",318
1985,"501,673","467,197","17,390","16,759",327
1986,"491,052","454,903","17,731","18,033",385
1987,"475,035","440,803","17,836","16,062",334
1988,"457,574","424,107","18,139","14,979",349
1989,"449,139","416,154","17,817","14,830",338
1990,"451,862","417,925","18,513","15,058",366
1991,"468,788","420,190","19,008","28,951",639
1992,"472,078","419,413","19,430","32,477",758
1993,"466,198","414,941","19,422","31,036",799
1994,"459,340","410,323","19,114","29,075",828
1995,"444,899","396,725","18,577","28,762",835
1996,"438,081","390,962","18,508","27,783",828
1997,"440,076","393,014","18,516","27,691",855
1998,"443,669","395,231","19,039","28,494",905
1999,"469,806","419,205","20,951","28,654",996
2000,"505,021","453,334","23,645","26,997","1,045"
2001,"495,848","443,267","24,309","27,179","1,093"
2002,"522,537","465,627","27,306","28,211","1,393"
2003,"508,306","451,583","28,209","27,130","1,384"
2004,"513,839","456,732","29,033","26,621","1,453"
2005,"516,949","457,549","29,579","28,127","1,694"
2006,"512,320","453,754","29,884","27,067","1,615"
2007,"569,862","509,524","31,528","27,066","1,744"
2008,"589,940","524,757","34,578","28,500","2,105"
2009,"547,495","478,914","37,063","29,174","2,344"
2010,"550,223","478,434","38,530","30,519","2,740"
2011,"544,542","472,209","39,150","30,306","2,877"
2012,"552,135","477,062","41,876","30,222","2,975"
2013,"546,435","471,744","43,092","28,688","2,911"
2014,"547,090","472,689","44,728","26,655","3,018"
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,
"NOTES: Data for 2006–2011 omit individuals whose benefits were reinstated under the Expedited Reinstatement provisions. For that reason, as well as for differences in data sources and calculation methods, statistics reported in this table may differ from those reported by the Office of the Chief Actuary.",,,,,
. . . = not applicable.,,,,,
a. January–November.,,,,,
b. Includes December 1958.,,,,,
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,
