Sex and age,All recipients,Adults,"Blind and disabled, under age 18",Aged,Blind,Disabled
,All persons,,,,,
Number,8335704,1151940,61517,5822486,1299761,
Percent,100.0,100.0,100.0,100.0,100.0,
,Percentage distribution by sex,,,,,
Male,46.8,34.7,47.8,44.7,66.8,
Female,53.2,65.3,52.2,55.3,33.2,
,Percentage distribution by age,,,,,
Under 5,2.1,. . .,. . .,. . .,13.4,
5–9,4.6,. . .,. . .,. . .,29.8,
10–14,5.6,. . .,. . .,. . .,36.1,
15–17,3.2,. . .,. . .,. . .,20.8,
18–21,4.0,. . .,5.6,5.7,. . .,
22–29,8.3,. . .,13.2,11.8,. . .,
30–39,8.7,. . .,14.3,12.4,. . .,
40–49,10.8,. . .,14.2,15.3,. . .,
50–59,18.9,. . .,20.2,26.9,. . .,
60–64,8.1,. . .,10.3,11.5,. . .,
65–69,7.3,16.6,7.1,7.1,. . .,
70–74,5.9,20.7,5.0,4.3,. . .,
75–79,4.9,21.3,3.9,2.8,. . .,
80 or older,7.4,41.3,6.4,2.3,. . .,
,Male,,,,,
Number,3898142,399499,29410,2601061,868172,
Percent,100.0,100.0,100.0,100.0,100.0,
Under 5,2.6,. . .,. . .,. . .,11.8,
5–9,6.8,. . .,. . .,. . .,30.4,
10–14,8.3,. . .,. . .,. . .,37.1,
15–17,4.6,. . .,. . .,. . .,20.8,
18–21,5.4,. . .,6.4,8.0,. . .,
22–29,10.1,. . .,15.2,15.0,. . .,
30–39,9.3,. . .,15.6,13.7,. . .,
40–49,9.8,. . .,15.1,14.6,. . .,
50–59,17.7,. . .,21.2,26.3,. . .,
60–64,7.3,. . .,9.8,10.8,. . .,
65–69,5.7,18.3,6.2,5.6,. . .,
70–74,4.4,22.8,4.0,3.0,. . .,
75–79,3.5,22.5,2.9,1.8,. . .,
80 or older,4.5,36.4,3.6,1.2,. . .,
,Female,,,,,
Number,4437562,752441,32107,3221425,431589,
Percent,100.0,100.0,100.0,100.0,100.0,
Under 5,1.6,. . .,. . .,. . .,16.6,
5–9,2.8,. . .,. . .,. . .,28.5,
10–14,3.3,. . .,. . .,. . .,34.1,
15–17,2.0,. . .,. . .,. . .,20.7,
18–21,2.9,. . .,4.8,3.9,. . .,
22–29,6.8,. . .,11.3,9.3,. . .,
30–39,8.3,. . .,13.1,11.3,. . .,
40–49,11.6,. . .,13.3,15.8,. . .,
50–59,20.0,. . .,19.3,27.3,. . .,
60–64,8.9,. . .,10.7,12.1,. . .,
65–69,8.7,15.7,7.9,8.2,. . .,
70–74,7.2,19.6,5.9,5.2,. . .,
75–79,6.2,20.7,4.8,3.6,. . .,
80 or older,9.9,44.0,9.0,3.3,. . .,
"SOURCE: Social Security Administration, Supplemental Security Record, 100 percent data.",NOTES: Totals do not necessarily equal the sum of rounded components.,. . . = not applicable.,CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,
